subno,Verb Fluidity,General Knowledge,Word Understanding,Workplace Learning,Numerical Reasoning,Multi-tasking,Word Processing Speed,Vocabulary,Short Term Memory,Idea Generation,Number Categorisation
37.0,10.0,11.0,9.0,5.0,8.0,8.0,11.0,12.0,6.0,11.0,8.0
38.0,12.0,15.0,6.0,10.0,11.0,13.0,10.0,16.0,8.0,11.0,14.0
39.0,7.0,9.0,11.0,7.0,9.0,8.0,12.0,10.0,8.0,6.0,11.0
40.0,13.0,10.0,10.0,13.0,10.0,10.0,12.0,10.0,9.0,12.0,10.0
41.0,8.0,5.0,8.0,10.0,6.0,9.0,8.0,7.0,8.0,10.0,5.0
42.0,14.0,8.0,11.0,10.0,8.0,8.0,7.0,5.0,6.0,5.0,8.0
43.0,10.0,5.0,8.0,5.0,6.0,9.0,3.0,11.0,9.0,10.0,5.0
44.0,7.0,9.0,11.0,13.0,8.0,12.0,13.0,10.0,9.0,15.0,12.0
45.0,17.0,13.0,14.0,10.0,6.0,14.0,12.0,16.0,16.0,10.0,6.0
46.0,10.0,10.0,10.0,12.0,11.0,6.0,12.0,8.0,8.0,11.0,10.0
47.0,14.0,14.0,14.0,15.0,10.0,12.0,10.0,15.0,10.0,14.0,8.0
48.0,9.0,8.0,11.0,14.0,6.0,8.0,14.0,13.0,7.0,12.0,9.0
49.0,12.0,11.0,8.0,10.0,5.0,13.0,11.0,8.0,5.0,5.0,5.0
50.0,12.0,10.0,8.0,9.0,9.0,12.0,13.0,12.0,4.0,11.0,7.0
51.0,7.0,9.0,8.0,5.0,5.0,8.0,8.0,10.0,7.0,7.0,4.0
52.0,11.0,7.0,5.0,12.0,6.0,14.0,10.0,8.0,7.0,12.0,9.0
53.0,8.0,7.0,10.0,7.0,11.0,6.0,10.0,9.0,8.0,7.0,9.0
54.0,7.0,5.0,7.0,9.0,6.0,10.0,10.0,9.0,7.0,9.0,5.0
55.0,8.0,10.0,11.0,5.0,8.0,15.0,8.0,10.0,7.0,9.0,11.0
56.0,9.0,9.0,9.0,10.0,6.0,8.0,6.0,12.0,7.0,10.0,6.0
57.0,10.0,8.0,15.0,9.0,9.0,7.0,9.0,11.0,8.0,11.0,12.0
58.0,11.0,10.0,12.0,11.0,11.0,12.0,13.0,10.0,7.0,11.0,0.0
59.0,11.0,13.0,14.0,16.0,11.0,11.0,15.0,17.0,7.0,15.0,9.0
60.0,7.0,8.0,9.0,7.0,9.0,8.0,8.0,10.0,10.0,6.0,8.0
61.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,8.0,9.0,8.0,9.0
62.0,10.0,17.0,14.0,11.0,14.0,12.0,14.0,14.0,10.0,12.0,10.0
63.0,6.0,5.0,6.0,10.0,11.0,7.0,6.0,8.0,7.0,9.0,8.0
64.0,11.0,6.0,11.0,9.0,11.0,12.0,11.0,7.0,10.0,6.0,10.0
65.0,13.0,10.0,10.0,10.0,11.0,12.0,8.0,12.0,6.0,9.0,10.0
66.0,13.0,10.0,7.0,12.0,12.0,12.0,12.0,17.0,9.0,5.0,7.0
67.0,10.0,11.0,10.0,10.0,6.0,14.0,11.0,14.0,9.0,9.0,6.0
68.0,11.0,9.0,10.0,11.0,6.0,13.0,11.0,12.0,5.0,7.0,7.0
69.0,9.0,5.0,7.0,11.0,7.0,11.0,10.0,8.0,8.0,12.0,12.0
70.0,19.0,15.0,18.0,10.0,11.0,16.0,17.0,16.0,14.0,17.0,8.0
71.0,9.0,12.0,10.0,7.0,9.0,11.0,6.0,15.0,12.0,13.0,12.0
72.0,11.0,14.0,15.0,15.0,14.0,12.0,13.0,13.0,8.0,13.0,6.0
73.0,2.0,14.0,9.0,8.0,9.0,3.0,10.0,13.0,8.0,2.0,7.0
74.0,9.0,9.0,9.0,9.0,7.0,14.0,7.0,9.0,9.0,11.0,10.0
75.0,9.0,3.0,8.0,10.0,8.0,11.0,9.0,8.0,4.0,8.0,3.0
76.0,4.0,12.0,14.0,14.0,10.0,14.0,5.0,13.0,8.0,12.0,8.0
77.0,11.0,9.0,14.0,9.0,12.0,16.0,10.0,10.0,5.0,14.0,9.0
78.0,11.0,8.0,8.0,5.0,8.0,8.0,9.0,11.0,7.0,8.0,12.0
79.0,10.0,12.0,8.0,11.0,9.0,9.0,9.0,10.0,11.0,8.0,5.0
80.0,7.0,5.0,7.0,14.0,7.0,8.0,6.0,9.0,7.0,9.0,10.0
81.0,7.0,10.0,10.0,9.0,11.0,10.0,15.0,12.0,10.0,4.0,4.0
82.0,15.0,12.0,9.0,14.0,13.0,13.0,13.0,12.0,11.0,16.0,8.0
83.0,11.0,13.0,11.0,15.0,12.0,10.0,10.0,11.0,13.0,13.0,11.0
84.0,13.0,10.0,13.0,10.0,10.0,13.0,9.0,9.0,13.0,12.0,11.0
85.0,13.0,12.0,11.0,14.0,14.0,12.0,14.0,15.0,9.0,16.0,13.0
86.0,9.0,13.0,14.0,11.0,11.0,13.0,12.0,14.0,9.0,10.0,6.0
87.0,10.0,8.0,8.0,10.0,9.0,6.0,7.0,9.0,4.0,10.0,6.0
88.0,8.0,6.0,12.0,9.0,7.0,8.0,2.0,10.0,12.0,10.0,9.0
89.0,13.0,12.0,14.0,14.0,11.0,13.0,18.0,16.0,11.0,10.0,8.0
90.0,8.0,11.0,9.0,15.0,8.0,11.0,9.0,8.0,7.0,10.0,11.0
91.0,10.0,10.0,10.0,9.0,11.0,9.0,8.0,13.0,6.0,11.0,9.0
92.0,13.0,13.0,12.0,10.0,10.0,12.0,15.0,11.0,12.0,13.0,2.0
93.0,13.0,10.0,14.0,11.0,11.0,13.0,15.0,14.0,16.0,15.0,12.0
94.0,11.0,5.0,9.0,11.0,8.0,12.0,10.0,11.0,8.0,12.0,9.0
95.0,10.0,4.0,10.0,11.0,8.0,13.0,9.0,10.0,4.0,11.0,9.0
96.0,13.0,10.0,13.0,11.0,10.0,12.0,11.0,12.0,6.0,13.0,8.0
97.0,13.0,10.0,9.0,7.0,8.0,14.0,13.0,11.0,8.0,7.0,5.0
98.0,12.0,5.0,8.0,8.0,8.0,10.0,8.0,7.0,9.0,10.0,5.0
99.0,11.0,19.0,13.0,13.0,13.0,12.0,18.0,19.0,10.0,11.0,4.0
100.0,10.0,9.0,8.0,11.0,9.0,10.0,9.0,8.0,11.0,8.0,8.0
101.0,10.0,10.0,6.0,15.0,8.0,17.0,7.0,3.0,6.0,10.0,4.0
102.0,10.0,7.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,9.0,12.0
103.0,11.0,10.0,12.0,13.0,8.0,15.0,11.0,13.0,10.0,13.0,10.0
104.0,12.0,5.0,9.0,8.0,12.0,11.0,8.0,10.0,11.0,12.0,8.0
105.0,14.0,13.0,14.0,12.0,14.0,11.0,16.0,10.0,14.0,13.0,9.0
106.0,13.0,8.0,8.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,6.0
107.0,13.0,5.0,11.0,14.0,7.0,14.0,12.0,10.0,7.0,12.0,13.0
108.0,9.0,8.0,10.0,9.0,10.0,11.0,5.0,11.0,7.0,8.0,5.0
109.0,7.0,6.0,6.0,2.0,8.0,8.0,7.0,10.0,8.0,3.0,7.0
110.0,12.0,11.0,11.0,9.0,9.0,14.0,15.0,14.0,9.0,12.0,10.0
111.0,13.0,11.0,9.0,10.0,8.0,9.0,12.0,14.0,8.0,13.0,6.0
112.0,11.0,7.0,9.0,10.0,6.0,14.0,7.0,9.0,9.0,9.0,8.0
113.0,12.0,12.0,14.0,12.0,9.0,10.0,14.0,14.0,8.0,10.0,6.0
114.0,12.0,11.0,10.0,11.0,10.0,12.0,9.0,10.0,8.0,11.0,12.0
115.0,14.0,9.0,12.0,13.0,11.0,12.0,11.0,10.0,11.0,12.0,9.0
116.0,14.0,10.0,14.0,13.0,13.0,12.0,15.0,10.0,5.0,14.0,11.0
117.0,13.0,14.0,14.0,15.0,6.0,11.0,17.0,12.0,11.0,13.0,4.0
118.0,14.0,7.0,10.0,8.0,10.0,11.0,11.0,10.0,9.0,10.0,6.0
119.0,10.0,8.0,6.0,10.0,5.0,10.0,9.0,6.0,8.0,11.0,8.0
120.0,18.0,11.0,12.0,12.0,7.0,11.0,11.0,11.0,6.0,8.0,5.0
121.0,12.0,6.0,8.0,10.0,8.0,14.0,16.0,11.0,11.0,10.0,9.0
122.0,13.0,11.0,9.0,6.0,10.0,9.0,7.0,9.0,7.0,12.0,11.0
123.0,12.0,13.0,16.0,11.0,11.0,10.0,18.0,13.0,6.0,13.0,6.0
124.0,16.0,15.0,15.0,9.0,12.0,11.0,14.0,19.0,7.0,14.0,8.0
125.0,14.0,7.0,9.0,10.0,7.0,13.0,11.0,12.0,9.0,11.0,7.0
126.0,12.0,10.0,9.0,11.0,7.0,11.0,10.0,9.0,9.0,9.0,6.0
127.0,8.0,4.0,11.0,6.0,7.0,8.0,4.0,9.0,0.0,8.0,13.0
128.0,10.0,9.0,0.0,13.0,8.0,10.0,9.0,8.0,7.0,8.0,12.0
129.0,11.0,10.0,10.0,11.0,13.0,13.0,9.0,9.0,8.0,13.0,7.0
130.0,9.0,8.0,9.0,9.0,8.0,8.0,5.0,6.0,4.0,9.0,7.0
131.0,8.0,7.0,7.0,9.0,10.0,8.0,11.0,9.0,7.0,9.0,9.0
132.0,13.0,9.0,12.0,13.0,10.0,16.0,11.0,12.0,13.0,12.0,12.0
133.0,8.0,3.0,6.0,12.0,6.0,11.0,12.0,6.0,7.0,6.0,4.0
134.0,10.0,8.0,11.0,9.0,8.0,17.0,12.0,10.0,6.0,11.0,9.0
135.0,8.0,5.0,11.0,10.0,9.0,12.0,8.0,9.0,8.0,11.0,9.0
136.0,10.0,4.0,12.0,9.0,5.0,10.0,9.0,10.0,12.0,8.0,10.0
137.0,4.0,14.0,10.0,12.0,8.0,10.0,11.0,16.0,14.0,7.0,14.0
138.0,2.0,12.0,6.0,11.0,10.0,10.0,6.0,7.0,11.0,11.0,5.0
139.0,8.0,8.0,9.0,11.0,8.0,14.0,10.0,9.0,8.0,11.0,13.0
140.0,14.0,8.0,8.0,11.0,8.0,11.0,6.0,8.0,7.0,11.0,7.0
141.0,7.0,12.0,9.0,8.0,9.0,10.0,14.0,11.0,7.0,8.0,7.0
142.0,12.0,5.0,7.0,15.0,6.0,12.0,4.0,9.0,6.0,14.0,7.0
143.0,12.0,10.0,13.0,11.0,6.0,7.0,15.0,14.0,11.0,9.0,12.0
144.0,14.0,9.0,10.0,15.0,9.0,13.0,10.0,9.0,8.0,9.0,9.0
145.0,12.0,10.0,9.0,11.0,8.0,15.0,10.0,11.0,7.0,12.0,6.0
146.0,10.0,10.0,11.0,13.0,7.0,12.0,10.0,10.0,11.0,12.0,8.0
147.0,14.0,11.0,10.0,12.0,9.0,12.0,15.0,13.0,11.0,10.0,5.0
148.0,8.0,9.0,7.0,11.0,9.0,10.0,8.0,6.0,10.0,10.0,8.0
149.0,12.0,10.0,11.0,13.0,10.0,15.0,11.0,12.0,6.0,14.0,6.0
150.0,10.0,9.0,10.0,11.0,8.0,9.0,8.0,9.0,12.0,9.0,7.0
151.0,15.0,7.0,11.0,12.0,7.0,14.0,12.0,9.0,9.0,15.0,6.0
152.0,11.0,12.0,14.0,13.0,8.0,13.0,12.0,8.0,13.0,8.0,13.0
153.0,8.0,9.0,7.0,10.0,9.0,9.0,10.0,11.0,8.0,11.0,9.0
154.0,14.0,13.0,17.0,8.0,14.0,13.0,15.0,15.0,14.0,10.0,12.0
155.0,11.0,15.0,16.0,11.0,16.0,18.0,14.0,16.0,12.0,18.0,12.0
156.0,10.0,10.0,10.0,10.0,4.0,12.0,12.0,11.0,7.0,14.0,6.0
157.0,12.0,6.0,10.0,14.0,7.0,11.0,9.0,9.0,8.0,15.0,11.0
158.0,10.0,13.0,10.0,11.0,10.0,9.0,12.0,14.0,11.0,8.0,14.0
159.0,13.0,9.0,12.0,6.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0
160.0,10.0,7.0,8.0,10.0,9.0,11.0,11.0,8.0,10.0,11.0,9.0
161.0,9.0,12.0,10.0,8.0,9.0,16.0,11.0,11.0,12.0,11.0,5.0
162.0,16.0,11.0,11.0,14.0,9.0,19.0,9.0,9.0,8.0,12.0,12.0
163.0,14.0,5.0,10.0,12.0,7.0,10.0,9.0,10.0,5.0,9.0,12.0
164.0,14.0,11.0,7.0,12.0,6.0,13.0,9.0,7.0,8.0,10.0,10.0
165.0,15.0,15.0,12.0,14.0,12.0,10.0,13.0,12.0,8.0,11.0,6.0
166.0,11.0,4.0,6.0,7.0,9.0,7.0,9.0,6.0,6.0,11.0,8.0
167.0,15.0,13.0,12.0,14.0,13.0,9.0,17.0,12.0,13.0,11.0,11.0
168.0,12.0,7.0,7.0,9.0,7.0,8.0,8.0,12.0,9.0,15.0,12.0
169.0,8.0,4.0,3.0,14.0,9.0,7.0,5.0,2.0,3.0,8.0,7.0
170.0,12.0,14.0,11.0,12.0,12.0,8.0,12.0,18.0,13.0,11.0,7.0
171.0,5.0,6.0,11.0,9.0,5.0,9.0,11.0,8.0,9.0,7.0,10.0
172.0,12.0,10.0,8.0,10.0,11.0,6.0,11.0,6.0,12.0,10.0,10.0
173.0,10.0,10.0,10.0,11.0,10.0,13.0,10.0,9.0,5.0,10.0,9.0
174.0,13.0,13.0,12.0,11.0,11.0,12.0,11.0,12.0,12.0,10.0,12.0
175.0,10.0,9.0,9.0,6.0,10.0,7.0,8.0,8.0,9.0,6.0,7.0
